Epoch	loss_train	loss_test	nll_x	nll_y	loss_vel	loss_con	kl_z0	kl_t
63	7674.910763439119	7481.3001933195155	12935.680917456268	951.8472585427866	-0.74175008080096	0.0010926094450567016	0.5006806803514241	0.4996665283472823
64	7611.4387346178755	7774.916230582635	12993.860821337463	1035.6667295405884	-0.7302792809099915	0.0019097602569821234	0.514225283447577	0.5148585410924417
65	7631.664082739638	7648.974008632471	12986.210960276969	964.6449713081382	-0.7382447080083908	0.001121128383893574	0.5489717966961096	0.5203821857191036
66	7633.77299222798	7521.315668845663	12949.878422239432	968.0151021974079	-0.7439696451665361	0.0011940231962868015	0.5115493015540932	0.5196288525189324
67	7635.3882772020725	7648.0887675382655	13018.161713625183	963.8011567140808	-0.7399356683211146	0.0012220522801530257	0.5351376514393109	0.5181247539840008
68	7652.948834196891	7474.828369852406	12940.536064481596	970.2656835439254	-0.7497079400209922	0.0017371762831730677	0.5072771489793984	0.5364570433474838
69	7587.985103626943	7504.636197726859	12951.069990775328	985.3224449936224	-0.74323773297207	0.001141189851760104	0.464540476875472	0.5246687590554574
70	7642.000020239638	7519.421251480503	12983.142105502915	979.4770685757562	-0.7455806156984224	0.0013113669537241318	0.486348743341407	0.5131456858910207
71	7629.498583225389	7553.125193604227	12974.095008427477	962.7144230878736	-0.7414208946005596	0.001537711730697966	0.4868021346737275	0.5283452533076873
72	7617.059889086788	7614.621384156341	13010.515619305757	1012.9168904029245	-0.7393265488196392	0.0010275721031379596	0.4509619878436664	0.5232163747615092
73	7594.48152121114	7562.893039358601	12982.651831268222	983.1384124310997	-0.7426178547453255	0.0012375452013010208	0.4773122738644959	0.5335936760068287
74	7614.75180132772	7490.8523084457	12949.703589080722	951.3258056640625	-0.7456437295449371	0.002008580648185517	0.4629288569483743	0.5632453823228619
75	7608.700068814767	7414.028367289996	12920.436631628098	942.9352356490866	-0.7498607623333834	0.0012936388919979835	0.49124244567951725	0.5450852688825513
76	7540.813613180052	7461.610815643222	12964.551151375728	955.0742141234284	-0.7500773325953469	0.0011895438544207821	0.4768479884365905	0.5540147065768785
77	7544.500688147668	7430.029600093386	12926.94921875	955.3456132627438	-0.751025467676602	0.001176233164444783	0.4961187971576657	0.5501077870238279
78	7602.266394106217	7353.092518620171	12919.700465788994	955.1974339610287	-0.7562035193596219	0.0009924173341526409	0.4852754882925106	0.5450302327687122
79	7588.106723607513	7481.468960686953	12938.847417091836	948.3310255045099	-0.7450846040909214	0.0023469711601620123	0.473823769533947	0.5478431511203332
80	7552.967373704663	7439.755307033528	12909.143139007836	958.7222870139965	-0.7505416451320703	0.0011861884933231132	0.5106736909022485	0.5547709856019424
81	7575.512487856217	7582.277676863156	12959.67670087008	1008.3061662234649	-0.7439016147188126	0.0013480690544139886	0.4800341780088386	0.5597960161745722
82	7559.5351967292745	7395.907488497631	12905.20619419643	931.171412698729	-0.7485981757369751	0.0012895659755361498	0.47386062918529565	0.5587553215096365
83	7546.278942681347	7385.650541522413	12891.489061361151	971.4787590538448	-0.7514704212155356	0.0010583192091733868	0.4720050618704137	0.5547988256629632
84	7579.569320757772	7429.234181395773	12919.62405190871	963.3812487187955	-0.7478090060695615	0.0010384346868261782	0.4595493356270971	0.554385254751489
85	7496.993948348446	7362.705172079993	12922.769095640488	933.9350436463648	-0.7549133347700359	0.001326172549817874	0.48350593977697387	0.5583669169651176
86	7517.348749190414	7442.1644667911805	12908.916021319243	957.3929984312364	-0.7475908455973811	0.001019984658172153	0.4862914123618568	0.5552725762389492
87	7527.038758905441	7461.9873004168185	12954.981001161625	967.9174493283641	-0.7513165256719895	0.0010130977510602237	0.4752580256747087	0.5668652351326567
88	7525.975469559586	7440.413242529155	12928.53946394406	934.131741092782	-0.7449432905144316	0.0010573760758740584	0.4609905577783334	0.555610569851044
